smoothing	smoothingAlpha	smoothingWindow	windowRatio	damping	preference_level0	preference_level1	preference_level2	unknown	std.dev
true	1.45	2.0	0.9	0.9	0.5	-0.4	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.5	-0.4	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	-0.4	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	-0.4	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.5	-0.3	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.5	-0.3	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	-0.3	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	-0.3	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.5	0.0	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.5	0.0	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	0.0	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	0.0	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.5	0.1	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.5	0.1	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	0.1	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	0.1	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.5	0.0	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.5	0.0	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	0.0	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.5	0.0	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.4	-0.4	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.4	-0.4	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.4	-0.4	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.4	-0.4	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.4	-0.3	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.4	-0.3	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.4	-0.3	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.4	-0.3	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.4	0.0	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.4	0.0	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.4	0.0	-1.5	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.4	0.0	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.4	0.1	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.4	0.1	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.4	0.1	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.4	0.1	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.4	0.0	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.4	0.0	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.4	0.0	-1.5	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.4	0.0	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.2	-0.4	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.2	-0.4	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.2	-0.4	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.2	-0.4	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.2	-0.3	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.2	-0.3	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.2	-0.3	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.2	-0.3	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.2	0.0	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.2	0.0	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.2	0.0	-1.5	0.39554483748085023	0.003155724577624447
true	1.45	2.0	0.9	0.9	0.2	0.0	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.2	0.1	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.2	0.1	-1.0	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.2	0.1	-1.5	0.3778193695284963	0.014569743374729494
true	1.45	2.0	0.9	0.9	0.2	0.1	-0.5	0.3984205564105827	0.042355653266836685
true	1.45	2.0	0.9	0.9	0.2	0.0	-2.0	0.37025005757744867	0.02213905532577712
true	1.45	2.0	0.9	0.9	0.2	0.0	-1.0	0.3778193695284963	0.014569743374729494
